StudyID,Visit1,mon_utm_x,mon_utm_y,lon,lat,dist_wrp,MinDist,elevation,EVI,capacity,dist_dc,inactive_2km,zipcode,days_prior,date_prior,month_floor,active_2km,monthly_oil_2km,monthly_gas_2km,num_odor_complaints
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,11,2023-01-20T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,12,2023-01-19T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,13,2023-01-18T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,14,2023-01-17T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,15,2023-01-16T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,16,2023-01-15T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,17,2023-01-14T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,18,2023-01-13T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,19,2023-01-12T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,20,2023-01-11T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,21,2023-01-10T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,22,2023-01-09T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,23,2023-01-08T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,24,2023-01-07T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,25,2023-01-06T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,26,2023-01-05T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,27,2023-01-04T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,28,2023-01-03T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
