"","date","zip","num_odor_complaints"
"13193",2021-07-10,92865,6
"13194",2021-07-11,90023,1
"13195",2021-07-11,90232,1
"13196",2021-07-11,90245,1
"13197",2021-07-11,90604,1
"13198",2021-07-11,90803,1
"13199",2021-07-11,91367,1
"13200",2021-07-12,90025,1
"13201",2021-07-12,90058,1
"13202",2021-07-12,90061,1
"13203",2021-07-12,90245,1
"13204",2021-07-12,90604,3
"13205",2021-07-12,90740,1
"13206",2021-07-12,90803,1
"13207",2021-07-12,91342,1
"13208",2021-07-12,92339,1
"13209",2021-07-12,92602,1
"13210",2021-07-13,90023,1
"13211",2021-07-13,90032,1
"13212",2021-07-13,90058,1
"13213",2021-07-13,90604,1
"13214",2021-07-13,90810,1
"13215",2021-07-13,91342,3
"13216",2021-07-13,91344,1
"13217",2021-07-13,91384,1
"13218",2021-07-13,92859,1
"13219",2021-07-14,90022,1
"13220",2021-07-14,90023,4
"13221",2021-07-14,90028,1
"13222",2021-07-14,90032,2
"13223",2021-07-14,90058,2
"13224",2021-07-14,90245,1
"13225",2021-07-14,90604,1
"13226",2021-07-14,90807,1
"13227",2021-07-14,91310,1
"13228",2021-07-14,91325,1
"13229",2021-07-14,91384,6
"13230",2021-07-14,91402,1
"13231",2021-07-14,92407,1
"13232",2021-07-14,92585,1
"13233",2021-07-14,92679,1
"13234",2021-07-14,92880,1
"13235",2021-07-15,90002,1
"13236",2021-07-15,90021,1
"13237",2021-07-15,90023,1
"13238",2021-07-15,90245,7
"13239",2021-07-15,90250,1
"13240",2021-07-15,90604,1
"13241",2021-07-15,91342,3
"13242",2021-07-15,91387,1
"13243",2021-07-15,91602,1
"13244",2021-07-15,91765,1
"13245",2021-07-15,92339,1
"13246",2021-07-15,92647,1
"13247",2021-07-15,92648,1
"13248",2021-07-16,90023,2
"13249",2021-07-16,90031,1
"13250",2021-07-16,90058,3
"13251",2021-07-16,90245,12
"13252",2021-07-16,90604,1
"13253",2021-07-16,91106,1
"13254",2021-07-16,91384,1
"13255",2021-07-16,91746,1
"13256",2021-07-16,92339,1
"13257",2021-07-17,90023,1
"13258",2021-07-17,90222,1
"13259",2021-07-17,90245,5
"13260",2021-07-17,90604,1
"13261",2021-07-17,90731,1
"13262",2021-07-17,91310,1
"13263",2021-07-17,91384,1
"13264",2021-07-17,92865,7
"13265",2021-07-18,90023,1
"13266",2021-07-18,90032,1
"13267",2021-07-18,90045,2
"13268",2021-07-18,90245,6
"13269",2021-07-18,90604,1
"13270",2021-07-18,90745,1
"13271",2021-07-18,90803,1
"13272",2021-07-18,92339,1
"13273",2021-07-19,90016,1
"13274",2021-07-19,90019,1
"13275",2021-07-19,90031,1
"13276",2021-07-19,90045,4
"13277",2021-07-19,90245,9
"13278",2021-07-19,90278,1
"13279",2021-07-19,90802,2
"13280",2021-07-19,91310,4
"13281",2021-07-19,91384,3
"13282",2021-07-19,92407,1
"13283",2021-07-19,92648,1
"13284",2021-07-19,92865,6
"13285",2021-07-20,90023,1
"13286",2021-07-20,90032,1
"13287",2021-07-20,90058,1
"13288",2021-07-20,90245,9
"13289",2021-07-20,90604,2
"13290",2021-07-20,90744,1
"13291",2021-07-20,90745,1
"13292",2021-07-20,90802,2
"13293",2021-07-20,90806,1
"13294",2021-07-20,90807,2
"13295",2021-07-20,91310,2
"13296",2021-07-20,91311,1
"13297",2021-07-20,91353,1
"13298",2021-07-20,91384,2
"13299",2021-07-20,91506,1
"13300",2021-07-20,91702,1
"13301",2021-07-20,91803,1
"13302",2021-07-20,92646,1
"13303",2021-07-20,92661,1
"13304",2021-07-20,93536,1
"13305",2021-07-21,90023,2
"13306",2021-07-21,90045,1
"13307",2021-07-21,90058,3
"13308",2021-07-21,90063,1
"13309",2021-07-21,90245,6
"13310",2021-07-21,90604,2
"13311",2021-07-21,90707,1
"13312",2021-07-21,90806,1
"13313",2021-07-21,90813,1
"13314",2021-07-21,91311,1
"13315",2021-07-21,91423,1
"13316",2021-07-21,92339,1
"13317",2021-07-21,92501,1
"13318",2021-07-21,92630,1
"13319",2021-07-21,92649,1
"13320",2021-07-21,92806,1
"13321",2021-07-21,92807,1
"13322",2021-07-22,90023,4
"13323",2021-07-22,90032,1
"13324",2021-07-22,90033,2
"13325",2021-07-22,90058,4
"13326",2021-07-22,90063,2
"13327",2021-07-22,90222,1
"13328",2021-07-22,90245,45
"13329",2021-07-22,90604,3
"13330",2021-07-22,90731,1
"13331",2021-07-22,90744,1
"13332",2021-07-22,91326,1
"13333",2021-07-22,91384,1
"13334",2021-07-22,91423,2
"13335",2021-07-22,91710,1
"13336",2021-07-22,91746,1
"13337",2021-07-22,92823,1
"13338",2021-07-22,92880,1
"13339",2021-07-22,92885,1
"13340",2021-07-23,90042,2
"13341",2021-07-23,90058,1
"13342",2021-07-23,90063,1
"13343",2021-07-23,90245,99
"13344",2021-07-23,90293,2
"13345",2021-07-23,90604,2
"13346",2021-07-23,91384,1
"13347",2021-07-23,92880,4
"13348",2021-07-24,90022,1
"13349",2021-07-24,90023,2
"13350",2021-07-24,90033,2
"13351",2021-07-24,90058,6
"13352",2021-07-24,90063,2
"13353",2021-07-24,90245,81
"13354",2021-07-24,90740,2
"13355",2021-07-24,91384,2
"13356",2021-07-24,91701,1
"13357",2021-07-24,91708,1
"13358",2021-07-24,91754,1
"13359",2021-07-24,92880,1
"13360",2021-07-25,9033,1
"13361",2021-07-25,90022,2
"13362",2021-07-25,90023,5
"13363",2021-07-25,90033,3
"13364",2021-07-25,90058,7
"13365",2021-07-25,90063,8
"13366",2021-07-25,90245,100
"13367",2021-07-25,90277,1
"13368",2021-07-25,90601,1
"13369",2021-07-25,90604,3
"13370",2021-07-25,90640,1
"13371",2021-07-25,90732,1
"13372",2021-07-25,90745,1
"13373",2021-07-25,91754,1
"13374",2021-07-26,90023,8
"13375",2021-07-26,90031,2
"13376",2021-07-26,90058,14
"13377",2021-07-26,90063,2
"13378",2021-07-26,90245,98
"13379",2021-07-26,90291,6
"13380",2021-07-26,90604,1
"13381",2021-07-26,91342,3
"13382",2021-07-26,91605,1
"13383",2021-07-26,91754,1
"13384",2021-07-26,92530,1
"13385",2021-07-26,92806,1
"13386",2021-07-26,92865,6
"13387",2021-07-26,NA,1
"13388",2021-07-27,90003,1
"13389",2021-07-27,90022,1
"13390",2021-07-27,90044,1
"13391",2021-07-27,90058,3
"13392",2021-07-27,90063,2
"13393",2021-07-27,90245,91
"13394",2021-07-27,90250,1
"13395",2021-07-27,90275,1
"13396",2021-07-27,90293,2
"13397",2021-07-27,90301,1
"13398",2021-07-27,90501,1
"13399",2021-07-27,90604,1
"13400",2021-07-27,90670,1
"13401",2021-07-27,90710,1
"13402",2021-07-27,91335,1
"13403",2021-07-27,91384,2
"13404",2021-07-27,91506,1
"13405",2021-07-27,91710,1
"13406",2021-07-27,91739,1
"13407",2021-07-27,91746,1
"13408",2021-07-27,91750,1
"13409",2021-07-27,92605,1
"13410",2021-07-27,92646,1
"13411",2021-07-27,92807,1
"13412",2021-07-27,92880,1
"13413",2021-07-27,NA,1
"13414",2021-07-28,90011,1
"13415",2021-07-28,90023,3
"13416",2021-07-28,90032,2
"13417",2021-07-28,90043,2
"13418",2021-07-28,90045,5
"13419",2021-07-28,90058,1
"13420",2021-07-28,90063,10
"13421",2021-07-28,90245,98
"13422",2021-07-28,90293,4
"13423",2021-07-28,90604,3
"13424",2021-07-28,90740,6
"13425",2021-07-28,90747,1
"13426",2021-07-28,90802,3
"13427",2021-07-28,90805,1
"13428",2021-07-28,91367,1
"13429",2021-07-28,91384,7
