"","zip","date","num_odor_complaints"
"11121",91203,2021-01-20,1
"11122",91204,2018-11-16,1
"11123",91204,2019-06-13,1
"11124",91204,2019-10-14,1
"11125",91204,2021-02-16,1
"11126",91204,2021-03-24,2
"11127",91204,2021-09-02,1
"11128",91204,2021-11-16,1
"11129",91204,2021-11-30,1
"11130",91204,2021-12-08,1
"11131",91204,2021-12-21,1
"11132",91204,2022-06-08,1
"11133",91204,2022-06-22,1
"11134",91204,2022-06-29,1
"11135",91204,2022-06-30,1
"11136",91204,2022-07-12,3
"11137",91204,2022-08-02,2
"11138",91204,2022-08-03,2
"11139",91204,2022-09-10,1
"11140",91204,2022-10-12,1
"11141",91204,2022-10-21,1
"11142",91204,2022-11-22,1
"11143",91205,2018-10-23,1
"11144",91205,2022-11-23,1
"11145",91206,2018-03-23,4
"11146",91206,2018-03-27,8
"11147",91206,2018-11-14,1
"11148",91206,2018-12-20,1
"11149",91206,2019-01-25,1
"11150",91206,2019-03-06,1
"11151",91206,2019-08-21,2
"11152",91206,2019-09-16,1
"11153",91206,2020-05-12,1
"11154",91206,2020-05-13,1
"11155",91206,2020-05-27,1
"11156",91206,2020-06-25,3
"11157",91206,2020-06-26,4
"11158",91206,2021-01-22,1
"11159",91206,2021-01-27,1
"11160",91206,2021-02-02,2
"11161",91206,2021-02-03,3
"11162",91206,2021-04-05,1
"11163",91206,2021-06-03,4
"11164",91206,2021-06-09,5
"11165",91206,2021-06-10,8
"11166",91206,2021-06-17,6
"11167",91206,2021-06-21,6
"11168",91206,2022-06-27,1
"11169",91207,2020-05-09,2
"11170",91207,2020-05-10,1
"11171",91207,2020-10-13,1
"11172",91207,2022-08-22,2
"11173",91208,2018-04-05,1
"11174",91208,2019-05-21,1
"11175",91208,2020-11-25,1
"11176",91208,2022-02-25,1
"11177",91210,2020-01-03,1
"11178",91214,2019-02-10,1
"11179",91214,2019-05-14,1
"11180",91214,2022-03-02,1
"11181",91236,2018-10-28,1
"11182",91301,2018-02-06,1
"11183",91301,2018-02-08,1
"11184",91301,2018-02-19,1
"11185",91301,2018-02-24,1
"11186",91301,2018-07-21,1
"11187",91301,2018-08-24,1
"11188",91301,2018-09-20,1
"11189",91301,2018-11-16,1
"11190",91301,2018-12-07,1
"11191",91301,2019-08-11,1
"11192",91301,2019-08-28,1
"11193",91301,2020-01-27,1
"11194",91301,2020-01-28,1
"11195",91301,2020-06-16,1
"11196",91301,2020-09-23,1
"11197",91301,2022-08-10,1
"11198",91301,2022-09-01,1
"11199",91302,2018-01-21,1
"11200",91302,2018-02-21,1
"11201",91302,2018-12-21,1
"11202",91302,2019-02-04,1
"11203",91302,2019-06-18,1
"11204",91302,2019-07-15,1
"11205",91302,2019-10-08,2
"11206",91302,2019-12-28,2
"11207",91302,2019-12-29,1
"11208",91302,2020-01-11,1
"11209",91302,2020-02-08,2
"11210",91302,2020-02-29,2
"11211",91302,2021-01-02,3
"11212",91302,2021-01-09,1
"11213",91302,2021-01-17,1
"11214",91302,2021-03-21,1
"11215",91302,2021-06-05,1
"11216",91302,2021-06-08,1
"11217",91302,2021-08-07,1
"11218",91302,2021-09-01,1
"11219",91302,2021-10-08,1
"11220",91302,2022-01-08,1
"11221",91302,2022-02-13,2
"11222",91303,2018-06-11,1
"11223",91303,2018-08-30,1
"11224",91303,2019-04-01,1
"11225",91303,2019-07-17,1
"11226",91303,2019-09-17,1
"11227",91303,2020-02-05,2
"11228",91303,2020-08-24,1
"11229",91303,2021-03-03,1
"11230",91303,2021-07-29,1
"11231",91303,2021-08-11,1
"11232",91303,2021-08-26,1
"11233",91303,2021-12-06,1
"11234",91303,2022-01-25,1
"11235",91303,2022-11-21,1
"11236",91303,2022-12-22,1
"11237",91304,2018-03-15,1
"11238",91304,2019-01-13,1
"11239",91304,2019-06-10,1
"11240",91304,2019-10-25,1
"11241",91304,2020-05-27,1
"11242",91304,2020-10-22,1
"11243",91304,2020-11-18,1
"11244",91304,2021-05-21,1
"11245",91304,2022-01-05,1
"11246",91306,2019-06-26,1
"11247",91306,2019-10-27,1
"11248",91306,2019-11-05,1
"11249",91306,2019-11-12,1
"11250",91306,2019-12-09,1
"11251",91306,2020-05-20,1
"11252",91306,2020-09-14,1
"11253",91306,2022-01-05,1
"11254",91306,2022-01-29,1
"11255",91306,2022-10-13,1
"11256",91307,2018-08-24,1
"11257",91307,2019-05-23,1
"11258",91307,2021-09-03,1
"11259",91310,2018-01-16,1
"11260",91310,2018-02-02,2
"11261",91310,2018-02-09,1
"11262",91310,2018-04-09,1
"11263",91310,2018-04-21,1
"11264",91310,2018-04-26,2
"11265",91310,2018-05-16,5
"11266",91310,2018-05-17,1
"11267",91310,2018-05-21,1
"11268",91310,2018-06-11,1
"11269",91310,2018-06-21,1
"11270",91310,2018-06-22,1
"11271",91310,2018-06-24,1
"11272",91310,2018-06-25,1
"11273",91310,2018-07-14,1
"11274",91310,2018-07-18,1
"11275",91310,2018-07-24,3
"11276",91310,2018-08-08,1
"11277",91310,2018-08-09,1
"11278",91310,2018-08-17,1
"11279",91310,2018-08-21,1
"11280",91310,2018-08-23,1
"11281",91310,2018-08-30,1
"11282",91310,2018-09-06,1
"11283",91310,2018-09-12,1
"11284",91310,2018-09-13,1
"11285",91310,2018-09-27,1
"11286",91310,2018-10-01,1
"11287",91310,2018-10-09,1
"11288",91310,2018-10-23,1
"11289",91310,2018-10-24,1
"11290",91310,2018-10-28,1
"11291",91310,2018-11-06,2
"11292",91310,2018-11-07,1
"11293",91310,2018-11-20,1
"11294",91310,2018-11-23,1
"11295",91310,2018-12-29,1
